Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
216566108,Sum of Us: A History of the UK in Data,Georgina Sturge,"Sturge, Georgina",,"=""0349129002""","=""9780349129006""",0,0.0,The Bridge Street Press,Kindle Edition,,2025,,,2025/04/05,to-read,to-read (#108),to-read,,,,0,0
199797582,The Paradise Problem,Christina Lauren,"Lauren, Christina",,"=""1668017725""","=""9781668017722""",3,4.09,Gallery Books,Hardcover,352,2024,2024,2025/03/20,2024/04/16,,,read,,,,1,0
214331246,"Sunrise on the Reaping (The Hunger Games, #0.5)",Suzanne Collins,"Collins, Suzanne",,"=""1546171460""","=""9781546171461""",3,4.69,Scholastic Press,Hardcover,382,2025,2025,2025/04/01,2025/04/01,,,read,,,,1,0
210141949,The Favourites,Layne Fargo,"Fargo, Layne",,"=""152992734X""","=""9781529927344""",5,4.20,Vintage Digital,Kindle Edition,464,2025,2025,2025/04/02,2025/03/23,,,read,,,,1,0
214997861,Instructions for Heartbreak,Sarah  Handyside,"Handyside, Sarah",,"=""1035032775""","=""9781035032778""",0,3.75,Macmillan,Kindle Edition,414,2025,,,2025/03/23,to-read,to-read (#107),to-read,,,,0,0
55145261,The Anthropocene Reviewed: Essays on a Human-Centered Planet,John Green,"Green, John",,"=""0525555218""","=""9780525555216""",0,4.36,Dutton,Hardcover,304,2021,2021,,2023/06/23,to-read,to-read (#40),to-read,,,,0,0
34466963,Why We Sleep: Unlocking the Power of Sleep and Dreams,Matthew Walker,"Walker, Matthew",,"=""""","=""""",0,4.38,Scribner,Hardcover,368,2017,2017,,2024/12/25,to-read,to-read (#106),to-read,,,,0,0
75436685,Our Lives in Their Portfolios: Why Asset Managers Own the World,Brett Christophers,"Christophers, Brett",,"=""1839769017""","=""9781839769016""",0,4.04,Verso,Kindle Edition,389,2023,,,2024/12/23,to-read,to-read (#105),to-read,,,,0,0
193782069,"The Perfect Passion Company (The Perfect Passion Company, #1-3)",Alexander McCall Smith,"Smith, Alexander McCall",,"=""0593688325""","=""9780593688328""",0,4.04,Vintage,Paperback,400,2024,,,2024/10/22,to-read,to-read (#104),to-read,,,,0,0
199698485,The God of the Woods,Liz    Moore,"Moore, Liz",,"=""""","=""""",4,4.15,Riverhead Books,Kindle Edition,490,2024,2024,2024/10/09,2024/09/24,,,read,,,,1,0
181346634,There's Always This Year: On Basketball and Ascension,Hanif Abdurraqib,"Abdurraqib, Hanif",,"=""0593448790""","=""9780593448793""",0,4.32,Random House,Hardcover,334,2024,2024,,2024/09/26,to-read,to-read (#103),to-read,,,,0,0
112974860,How to Know a Person: The Art of Seeing Others Deeply and Being Deeply Seen,David  Brooks,"Brooks, David",,"=""059323006X""","=""9780593230084""",0,4.09,Random House,Kindle Edition,304,2023,2023,,2024/09/25,to-read,to-read (#102),to-read,,,,0,0
21936809,"The Kind Worth Killing (Henry Kimball/Lily Kintner, #1)",Peter  Swanson,"Swanson, Peter",,"=""0062267523""","=""9780062267528""",0,3.98,William Morrow,Hardcover,320,2015,2015,,2024/09/25,to-read,to-read (#101),to-read,,,,0,0
